team,season,goalie_name,goalie_gp,gsax,gsax_pg
ANA,2008,Jean-Sebastien Giguere,46,-17.540000000000006,-0.3813043478260871
ARI,2008,Ilya Bryzgalov,64,-20.830000000000013,-0.3254687500000002
ATL,2008,Kari Lehtonen,46,-4.180000000000007,-0.09086956521739145
BOS,2008,Tim Thomas,53,25.129999999999995,0.4741509433962263
BUF,2008,Ryan Miller,59,-5.280000000000001,-0.08949152542372883
CAR,2008,Cam Ward,68,18.44999999999999,0.2713235294117645
CBJ,2008,Steve Mason,61,-5.009999999999991,-0.08213114754098345
CGY,2008,Miikka Kiprusoff,76,-19.539999999999992,-0.2571052631578946
CHI,2008,Nikolai Khabibulin,42,8.159999999999997,0.1942857142857142
COL,2008,Peter Budaj,56,-17.97999999999999,-0.3210714285714284
DAL,2008,Marty Turco,74,-16.159999999999997,-0.21837837837837834
DET,2008,Chris Osgood,46,-19.040000000000006,-0.413913043478261
EDM,2008,Dwayne Roloson,63,3.4499999999999886,0.05476190476190458
FLA,2008,Tomas Vokoun,59,17.409999999999997,0.2950847457627118
LAK,2008,Jonathan Quick,44,7.700000000000003,0.17500000000000007
MIN,2008,Niklas Backstrom,71,1.3799999999999955,0.019436619718309796
MTL,2008,Carey Price,52,-7.060000000000002,-0.1357692307692308
NJD,2008,Scott Clemmensen,40,-3.25,-0.08125
NSH,2008,Pekka Rinne,52,-1.9000000000000057,-0.036538461538461645
NYI,2008,Joey MacDonald,49,-23.72,-0.4840816326530612
NYR,2008,Henrik Lundqvist,70,7.650000000000006,0.10928571428571436
OTT,2008,Alex Auld,43,1.9699999999999989,0.04581395348837207
PHI,2008,Martin Biron,55,-2.8700000000000045,-0.05218181818181827
PIT,2008,Marc-Andre Fleury,62,-7.8700000000000045,-0.1269354838709678
SJS,2008,Evgeni Nabokov,62,-9.240000000000009,-0.14903225806451628
STL,2008,Chris Mason,57,1.1800000000000068,0.020701754385965034
TBL,2008,Mike Smith,41,-2.3900000000000006,-0.058292682926829285
TOR,2008,Vesa Toskala,52,-17.669999999999987,-0.3398076923076921
VAN,2008,Roberto Luongo,53,16.599999999999994,0.3132075471698112
WSH,2008,Jose Theodore,57,-12.77000000000001,-0.22403508771929842
ANA,2009,Jonas Hiller,59,19.310000000000002,0.3272881355932204
ARI,2009,Ilya Bryzgalov,69,6.889999999999986,0.09985507246376792
ATL,2009,Johan Hedberg,47,7.290000000000006,0.15510638297872353
BOS,2009,Tuukka Rask,45,16.209999999999994,0.3602222222222221
BUF,2009,Ryan Miller,69,29.379999999999995,0.4257971014492753
CAR,2009,Cam Ward,46,20.860000000000014,0.4534782608695655
CBJ,2009,Steve Mason,57,-35.18000000000001,-0.6171929824561405
CGY,2009,Miikka Kiprusoff,73,6.990000000000009,0.09575342465753438
CHI,2009,Cristobal Huet,48,-16.730000000000004,-0.34854166666666675
COL,2009,Craig Anderson,71,3.3100000000000023,0.046619718309859184
DAL,2009,Marty Turco,52,-0.5699999999999932,-0.01096153846153833
DET,2009,Jimmy Howard,63,9.689999999999998,0.15380952380952378
EDM,2009,Jeff Deslauriers,48,-7.030000000000001,-0.14645833333333336
FLA,2009,Tomas Vokoun,63,23.25999999999999,0.36920634920634904
LAK,2009,Jonathan Quick,72,2.7299999999999898,0.03791666666666652
MIN,2009,Niklas Backstrom,60,-28.400000000000006,-0.47333333333333344
MTL,2009,Jaroslav Halak,45,19.58,0.43511111111111106
NJD,2009,Martin Brodeur,77,3.1899999999999977,0.0414285714285714
NSH,2009,Pekka Rinne,58,-4.849999999999994,-0.08362068965517232
NYI,2009,Dwayne Roloson,50,-0.9399999999999977,-0.018799999999999956
NYR,2009,Henrik Lundqvist,73,31.620000000000005,0.43315068493150694
OTT,2009,Brian Elliott,55,-9.079999999999998,-0.16509090909090907
