team,season,games_played,xgf_pg,xga_pg,gf_pg,ga_pg
ANA,2008,82,2.774390243902439,2.7148780487804878,2.902439024390244,2.8658536585365852
ARI,2008,81,2.415185185185185,2.7758024691358023,2.4691358024691357,3.0617283950617282
ATL,2008,82,2.6862195121951222,3.0814634146341464,3.1097560975609757,3.475609756097561
BOS,2008,81,2.789012345679012,2.6449382716049383,3.2962962962962963,2.3209876543209877
BUF,2008,82,2.6507317073170733,2.571341463414634,2.951219512195122,2.792682926829268
CAR,2008,82,2.9408536585365854,2.901585365853659,2.8780487804878048,2.6951219512195124
CBJ,2008,82,2.3346341463414633,2.332560975609756,2.682926829268293,2.7195121951219514
CGY,2008,81,2.843827160493827,2.7074074074074077,3.0617283950617282,2.9876543209876543
CHI,2008,82,2.845487804878049,2.5571951219512195,3.1707317073170733,2.548780487804878
COL,2008,82,2.4717073170731707,2.653780487804878,2.317073170731707,3.0853658536585367
DAL,2008,82,2.566707317073171,2.7282926829268295,2.731707317073171,3.0609756097560976
DET,2008,81,3.1551851851851853,2.600246913580247,3.5185185185185186,2.925925925925926
EDM,2008,82,2.67609756097561,2.9635365853658535,2.7804878048780486,2.975609756097561
FLA,2008,82,2.7890243902439025,3.013658536585366,2.817073170731707,2.7195121951219514
LAK,2008,82,2.745365853658537,2.6952439024390245,2.4634146341463414,2.7560975609756095
MIN,2008,82,2.298780487804878,2.463170731707317,2.6097560975609757,2.402439024390244
MTL,2008,82,2.893292682926829,2.9409756097560975,2.951219512195122,2.926829268292683
NJD,2008,82,2.7418292682926833,2.4140243902439025,2.902439024390244,2.524390243902439
NSH,2008,82,2.4160975609756097,2.687560975609756,2.524390243902439,2.7804878048780486
NYI,2008,82,2.535731707317073,3.089512195121951,2.4146341463414633,3.341463414634146
NYR,2008,82,2.7690243902439025,2.7196341463414635,2.4878048780487805,2.6219512195121952
OTT,2008,82,2.616341463414634,2.6567073170731708,2.6097560975609757,2.8292682926829267
PHI,2008,82,2.683414634146341,2.828048780487805,3.1707317073170733,2.8292682926829267
