season,team,conference,division,games_played,wins,losses,ot_losses,points,goals_for,goals_against,goal_diff,points_pct,goals_for_pg,goals_against_pg,win_pct
20172018,NSH,Western,Central,82,53,18,11,117,267,211,56,0.7134146341463414,3.2560975609756095,2.573170731707317,0.6463414634146342
20172018,WPG,Western,Central,82,52,20,10,114,277,218,59,0.6951219512195121,3.3780487804878048,2.658536585365854,0.6341463414634146
20172018,TBL,Eastern,Atlantic,82,54,23,5,113,296,236,60,0.6890243902439024,3.6097560975609757,2.8780487804878048,0.6585365853658537
20172018,BOS,Eastern,Atlantic,82,50,20,12,112,270,214,56,0.6829268292682927,3.292682926829268,2.6097560975609757,0.6097560975609756
20172018,VGK,Western,Pacific,82,51,24,7,109,272,228,44,0.6646341463414634,3.317073170731707,2.7804878048780486,0.6219512195121951
20172018,WSH,Eastern,Metropolitan,82,49,26,7,105,259,239,20,0.6402439024390244,3.158536585365854,2.9146341463414633,0.5975609756097561
20172018,TOR,Eastern,Atlantic,82,49,26,7,105,277,232,45,0.6402439024390244,3.3780487804878048,2.8292682926829267,0.5975609756097561
20172018,MIN,Western,Central,82,45,26,11,101,253,232,21,0.6158536585365854,3.0853658536585367,2.8292682926829267,0.5487804878048781
20172018,ANA,Western,Pacific,82,44,25,13,101,235,216,19,0.6158536585365854,2.8658536585365852,2.6341463414634148,0.5365853658536586
20172018,PIT,Eastern,Metropolitan,82,47,29,6,100,272,250,22,0.6097560975609756,3.317073170731707,3.048780487804878,0.573170731707317
20172018,SJS,Western,Pacific,82,45,27,10,100,252,229,23,0.6097560975609756,3.073170731707317,2.792682926829268,0.5487804878048781
20172018,LAK,Western,Pacific,82,45,29,8,98,239,203,36,0.5975609756097561,2.9146341463414633,2.475609756097561,0.5487804878048781
20172018,PHI,Eastern,Metropolitan,82,42,26,14,98,251,243,8,0.5975609756097561,3.0609756097560976,2.9634146341463414,0.5121951219512195
20172018,CBJ,Eastern,Metropolitan,82,45,30,7,97,242,230,12,0.5914634146341463,2.951219512195122,2.8048780487804876,0.5487804878048781
20172018,NJD,Eastern,Metropolitan,82,44,29,9,97,248,244,4,0.5914634146341463,3.024390243902439,2.975609756097561,0.5365853658536586
20172018,FLA,Eastern,Atlantic,82,44,30,8,96,248,246,2,0.5853658536585366,3.024390243902439,3.0,0.5365853658536586
20172018,COL,Western,Central,82,43,30,9,95,257,237,20,0.5792682926829268,3.1341463414634148,2.8902439024390243,0.524390243902439
20172018,STL,Western,Central,82,44,32,6,94,226,222,4,0.573170731707317,2.7560975609756095,2.707317073170732,0.5365853658536586
20172018,DAL,Western,Central,82,42,32,8,92,235,225,10,0.5609756097560976,2.8658536585365852,2.7439024390243905,0.5121951219512195
20172018,CGY,Western,Pacific,82,37,35,10,84,218,248,-30,0.5121951219512195,2.658536585365854,3.024390243902439,0.45121951219512196
20172018,CAR,Eastern,Metropolitan,82,36,35,11,83,228,256,-28,0.5060975609756098,2.7804878048780486,3.1219512195121952,0.43902439024390244
20172018,NYI,Eastern,Metropolitan,82,35,37,10,80,264,296,-32,0.4878048780487805,3.2195121951219514,3.6097560975609757,0.4268292682926829
20172018,EDM,Western,Pacific,82,36,40,6,78,234,263,-29,0.47560975609756095,2.8536585365853657,3.207317073170732,0.43902439024390244
20172018,NYR,Eastern,Metropolitan,82,34,39,9,77,231,268,-37,0.4695121951219512,2.817073170731707,3.268292682926829,0.4146341463414634
20172018,CHI,Western,Central,82,33,39,10,76,229,256,-27,0.4634146341463415,2.792682926829268,3.1219512195121952,0.4024390243902439
20172018,VAN,Western,Pacific,82,31,40,11,73,218,264,-46,0.4451219512195122,2.658536585365854,3.2195121951219514,0.3780487804878049
